id,title,slug,YouPorn,xHamster,xvideos,PornHub,RedTube,Tube8
1,Amateur,amateur,Amateur,Amateur,amateur,Amateur,Amateur,Amateur
2,Anal,anal,Anal,Anal,anal,Anal,Anal Sex,Anal
3,Asian,asian,Asian,Asian,asian,Asian,Asian,Asian
4,BBW,bbw,BBW,BBW,bbw,BBW,BBW,Hardcore
5,Big Butt,big-butt,Big butt,BBW,big-butt,Big Ass,Big Ass,Hardcore
6,Big Tits,big-tits,Big tits,Big Boobs,big-tits,Big Tits,Big Tits,Hardcore
7,Bisexual,bisexual,Bisexual,Bisexuals,bi,Bisexual,Bisexual,Hardcore
8,Blonde,blonde,Blonde,Blondes,blonde,Blonde,Blonde,Hardcore
9,Blowjob,blowjob,Blowjob,Blowjobs,blow-job,Blowjob,Blowjob,Blowjob
10,Brunette,brunette,Brunette,Brunettes,brunette,Brunette,Brunette,Hardcore
11,Coed,coed,Coed,Teens,coed,College,Teen,Teen
12,Compilation,compilation,Compilation,Hardcore,compilation,Compilation,Compilation,Hardcore
13,Couples,couples,Couples,Babes,couples,For Women,Couple,Erotic
14,Creampie,creampie,Creampie,Creampie,cream-pie,Creampie,Cream Pie,Hardcore
15,Cumshots,cumshots,Cumshots,Cumshots,cumshots,Cumshots,Cum Shot,Hardcore
16,Cunnilingus,cunnilingus,Cunnilingus,,cunnilingus,,Licking Vagina,Hardcore
17,DP,dp,DP,Double Penetration,doublepenetration,Double Penetration,Double Penetration,Anal
18,Dildos/Toys,dildos-toys,Dildos/Toys,Sex Toys,sextoys,Toys,Toys,Hardcore
19,Ebony,ebony,Ebony,Black and Ebony,black,Ebony,Ebony,Ebony
20,European,european,European,,european,Euro,,Hardcore
21,Facial,facial,Facial,Facials,facials,Cumshots,Facial,Hardcore
22,Fantasy,fantasy,Fantasy,,fantasy,,,Erotic
23,Female Friendly,female-friendly,Female Friendly,,forwomen,For Women,Romantic,Erotic
24,Fetish,fetish,Fetish,BDSM,fetish,Fetish,Fetish,Fetish
25,Fingering,fingering,Fingering,Fingering,fingering,Masturbation,Masturbation,
26,Funny,funny,Funny,Funny,funny,Funny,Funny,
27,Gay,gay,Gay,,gay,,Gay,
28,German,german,German,German,german,Euro,German,
29,Gonzo,gonzo,Gonzo,,gonzo,,,
30,Group Sex,group-sex,Group sex,Group Sex,group-sex,Threesome,Group Sex,Hardcore
31,Hairy,hairy,Hairy,Hairy,hairy,,,
32,Handjob,handjob,Handjob,Handjobs,handjob,Handjob,Handjob,Hardcore
33,Hentai,hentai,Hentai,Hentai,hentai,Hentai,Hentai,
34,Instructional,instructional,Instructional,,,,,
35,Interracial,interracial,Interracial,Interracial,interacial,Interracial,Interracial,Hardcore
36,Interview,interview,Interview,,interview,,,Hardcore
37,Kissing,kissing,Kissing,Softcore,kissing,,Kissing,Erotic
38,Latina,latina,Latina,Latin,latina,Latina,Latin,Latina
39,Lesbian,lesbian,Lesbian,Lesbians,lesbian,Lesbian,Lesbian,Lesbian
40,MILF,milf,MILF,MILFs,milf,MILF,MILF,Mature
41,Massage,massage,Massage,Massage,massage,Massage,Massage,Erotic
42,Masturbate,masturbate,Masturbate,Masturbation,masterbate,Masturbation,Masturbation,
43,Mature,mature,Mature,Matures,mature,Mature,Mature,Mature
44,POV,pov,POV,POV,POV,POV,POV,
45,Panties,panties,Panties,Lingerie,panties,,Lingerie,
46,Pantyhose,pantyhose,Pantyhose,Lingerie,pantyhose,,Lingerie,
47,Public,public,Public,Public Nudity,public-sex,Outdoor,Public,Hardcore
48,Redhead,redhead,Redhead,Redheads,red-head,Red Head,Redhead,
49,Rimming,rimming,Rimming,,rimming,,,
50,Romantic,romantic,Romantic,,romantic,For Women,Romantic,
51,Shaved,shaved,Shaved,,shaved,,Shaved,
52,Shemale,shemale,Shemale,,shemale,Shemale,Shemale,
53,Solo Male,solo-male,Solo Male,,soloboy,Solo Male,Solo Male,
54,Solo Girl,solo-girl,Solo girl,Babes,solo-girls,Babe,Solo Girl,
55,Squirting,squirting,Squirting,Squirting,squirting,Squirt,Squirting,Hardcore
56,Straight Sex,straight-sex,Straight Sex,,sex,,Vaginal Sex,Erotic
57,Swallow,swallow,Swallow,,swallow,,Swallow,
58,Teen,teen,Teen,Teens,teens,Teen,Teen,Teen
59,Threesome,threesome,Threesome,Threesomes,threesome,Threesome,Threesome,Hardcore
60,Vintage,vintage,Vintage,Vintage,vintage,Vintage,Vintage,
61,Voyeur,voyeur,Voyeur,Voyeur,voyeur,,,
62,Webcam,webcam,Webcam,Webcams,webcam,Webcam,Webcam,
63,Young/Old,young-old,Young/Old,Old+Young,youngandold,,Young & Old,
64,3D,3d,3D,,3d,,3D,
